FULL,Year,PG,ID,ID2,CAT_ORG,CAT_MOD,FULL.1,Position,Nation,Name,Addy_Clean,Address,Nationality - Katherine Vote,Nationality - Zehra Vote,Nationality - Jessica,Nationality Final,api_result1,api_result2,nationality_api,nationality_ipums,Origin_api,Gender - Katherine Vote,Gender - Zehra Vote,Gender - Jessica,Gender - Final,Gender_api,gender_combined,gender_final,Notes,Arrival / I Record,CORNER,Address2,ST combi,ST Name,ST Name 2,ST Name 3,ST Name 4,ST Name 5,ST Name 6,Last,First,probability1,probability12,if error,if>40,final_api,final_ancestry,country_match,region_match,Final Result,,,
"Herring Adam, 103 Park row & 751, 6th av",1898_TrowBusMan,956,884,1898_TrowBusMan_884,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Herring Adam, 103 Park row & 751, 6th av",14,,Herring Adam ,751 6th av ,"103 Park row & 751, 6th av",English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,751,6th av ,6th,av,,,,,Herring,Lewis,0.773178219,0.936308782,,0.494663609,English,English,,,British,,,
"Herring Lewis, 83 Park row & 29 N William",1898_TrowBusMan,956,885,1898_TrowBusMan_885,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Herring Lewis, 83 Park row & 29 N William",15,,Herring Lewis ,83 Park row ,83 Park row & 29 N William,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,83,Park row ,Park,row,,,,,Hildred,Charles,0.495729609,0.826248354,,0.50674493,English,English,,,British,,,
"Herring Lewis, 83 Park row & 29 N William",1898_TrowBusMan,956,886,1898_TrowBusMan_886,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Herring Lewis, 83 Park row & 29 N William",15,,Herring Lewis ,29 N William ,83 Park row & 29 N William,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,29,N William ,N,William,,,,,Hopper,George,0.508383132,0.854078736,,0.587064809,English,English,,,British,,,
"Hildred Charles, 228 Hudson",1898_TrowBusMan,956,903,1898_TrowBusMan_903,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Hildred Charles, 228 Hudson",17,,Hildred Charles ,228 Hudson  ,228 Hudson,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,228,Hudson  ,Hudson,,,,,,Hunt,William,0.461268453,0.955349177,,0.662688656,English,English,,,British,,,
"Hopper George W. 730, 8th av",1898_TrowBusMan,957,933,1898_TrowBusMan_933,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Hopper George W. 730, 8th av",17,,Hopper George W ,730 8th av ,"730, 8th av",English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,730,8th av ,8th,av,,,,,Ingersoll,Harris,0.473945027,0.661330009,,0.742059031,English,English,,,British,,,
Hunt William E. S. 48 Hudson,1898_TrowBusMan,957,950,1898_TrowBusMan_950,Restaurants (Marked thus + are oyster saloons.),Restaurant,Hunt William E. S. 48 Hudson,19,,Hunt William E S ,48 Hudson  ,48 Hudson,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,48,Hudson  ,Hudson,,,,,,Jackson,Charles,0.494432344,0.657220303,,0.704605725,English,English,,,British,,,
"Ingersoll Harris, 5 Pelham",1898_TrowBusMan,957,957,1898_TrowBusMan_957,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Ingersoll Harris, 5 Pelham",18,,Ingersoll Harris ,5 Pelham  ,5 Pelham,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,5,Pelham  ,Pelham,,,,,,Jarratt,James,0.546466127,0.87831391,,0.462341599,English,English,,,British,,,
Jackson Charles. 236 W 41st,1898_TrowBusMan,957,961,1898_TrowBusMan_961,Restaurants (Marked thus + are oyster saloons.),Restaurant,Jackson Charles. 236 W 41st,17,,Jackson Charles ,236 W 41st ,236 W 41st,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,236,W 41st ,W,41st,,,,,Jarvis,Samuel,0.760323013,0.816651836,,0.495283003,English,English,,,British,,,
Jarratt James H. 160 W 30th,1898_TrowBusMan,957,978,1898_TrowBusMan_978,Restaurants (Marked thus + are oyster saloons.),Restaurant,Jarratt James H. 160 W 30th,17,,Jarratt James H ,160 W 30th ,160 W 30th,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,160,W 30th ,W,30th,,,,,Johnson,Edward,0.48063694,0.772188811,,0.650888613,English,English,,,British,,,
"Jarvis Samuel, 196 South",1898_TrowBusMan,957,979,1898_TrowBusMan_979,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Jarvis Samuel, 196 South",15,,Jarvis Samuel ,196 South  ,196 South,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,196,South  ,South,,,,,,Jones,Abraham,0.506344468,0.80318845,,0.569296462,English,English,,,British,,,
Johnson Edward. 214 W 29th,1898_TrowBusMan,957,984,1898_TrowBusMan_984,Restaurants (Marked thus + are oyster saloons.),Restaurant,Johnson Edward. 214 W 29th,16,,Johnson Edward ,214 W 29th ,214 W 29th,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,214,W 29th ,W,29th,,,,,Jones,E,0.819994576,0.885001004,,0.44680114,English,English,,,British,,,
"Jones Abraham, 27 E 125th",1898_TrowBusMan,957,986,1898_TrowBusMan_986,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Jones Abraham, 27 E 125th",15,,Jones Abraham ,27 E 125th ,27 E 125th,English,,,English,English,Liberian,English,English,Northern Europe,m,m,,m,m,m,m,,,N,27,E 125th ,E,125th,,,,,Jones,Jane,0.839182225,0.97374598,,0.459057575,English,English,,,British,,,
Jones E. 3 Grand circle,1898_TrowBusMan,957,988,1898_TrowBusMan_988,Restaurants (Marked thus + are oyster saloons.),Restaurant,Jones E. 3 Grand circle,9,,Jones E ,3 Grand st Circle ,3 Grand circle,English,,,English,English,Irish,English,English,Northern Europe,,,,,m,undecided,undecided,,,N,3,Grand st Circle ,Grand,circle,,,,,Jones,Josephine,0.652669269,0.823764923,,0.452146368,English,English,,,British,,,
"Jones Jane & Co, 114 W 26th",1898_TrowBusMan,957,989,1898_TrowBusMan_989,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Jones Jane & Co, 114 W 26th",17,,Jones Jane & Co ,114 W 26th ,114 W 26th,English,,,English,English,Irish,English,English,Northern Europe,f,f,,f,f,f,f,,,N,114,W 26th ,W,26th,,,,,Kendall,George,0.458473839,0.907485656,,0.472303718,English,English,,,British,,,
"Jones Josephine, 31 Depeyster",1898_TrowBusMan,957,990,1898_TrowBusMan_990,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Jones Josephine, 31 Depeyster",17,,Jones Josephine ,31 Depeyster  ,31 Depeyster,English,,,English,English,Irish,English,English,Northern Europe,f,f,,f,f,f,f,,,N,31,Depeyster  ,Depeyster,,,,,,Kerr,J,0.48026797,0.879563949,,0.743291841,English,English,,,British,,,
"Kendall George, 8 Rector",1898_TrowBusMan,957,1024,1898_TrowBusMan_1024,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Kendall George, 8 Rector",16,,Kendall George ,8 Rector  ,8 Rector,English,,,English,English,Irish,English,English,Northern Europe,m,m,,m,m,m,m,,,N,8,Rector  ,Rector,,,,,,Lake,Charlotte,0.507747922,0.784847233,,0.830748556,English,English,,,British,,,
Kerr J. M. 344 Bleecker,1898_TrowBusMan,957,1027,1898_TrowBusMan_1027,Restaurants (Marked thus + are oyster saloons.),Restaurant,Kerr J. M. 344 Bleecker,11,,Kerr J M ,344 Bleecker  ,344 Bleecker,English,,,English,English,Irish,English,English,Northern Europe,,,,,m,undecided,undecided,,,N,344,Bleecker  ,Bleecker,,,,,,Lantelme,Lucy,0.544742049,0.56481126,,0.559097449,English,English,,,British,,,
"Lake Charlotte, 997, 3d av",1898_TrowBusMan,958,1114,1898_TrowBusMan_1114,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Lake Charlotte, 997, 3d av",16,,Lake Charlotte ,997 3rd av ,"997, 3d av",,,English,English,English,Irish,English,English,Northern Europe,f,f,,f,f,f,f,,,N,997,3rd av ,3rd,av,,,,,Lewis,James,0.613071305,0.948695729,,0.709068748,English,English,,,British,,,
Lantelme Lucy M. 40 Union sq E,1898_TrowBusMan,958,1128,1898_TrowBusMan_1128,Restaurants (Marked thus + are oyster saloons.),Restaurant,Lantelme Lucy M. 40 Union sq E,17,,Lantelme Lucy M ,40 Union sq E,40 Union sq E,,,,,English,French,undecided,undecided,Northern Europe,f,f,,f,f,f,f,,,N,40,Union sq E,Union,sq,E,,,,Lewis,Samuel,0.715209818,0.907780265,,0.481075548,English,0,,,British,,,
Lewis James W. 414 West,1898_TrowBusMan,958,1158,1898_TrowBusMan_1158,Restaurants (Marked thus + are oyster saloons.),Restaurant,Lewis James W. 414 West,15,,Lewis James W ,414 West st  ,414 West,,,,,English,Irish,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,414,West st  ,West,,,,,,Libby,Oliver,0.717417471,0.830395351,,0.719180016,English,0,,,British,,,
"Lewis Samuel, 1869, 2d av",1898_TrowBusMan,958,1159,1898_TrowBusMan_1159,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Lewis Samuel, 1869, 2d av",14,,Lewis Samuel ,1869 2nd av ,"1869, 2d av",,,,,English,Irish,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,1869,2nd av ,2nd,av,,,,,Long,David,0.713095574,0.830820325,,0.50830859,English,0,,,British,,,
"Libby Oliver, 143 Fulton",1898_TrowBusMan,958,1160,1898_TrowBusMan_1160,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Libby Oliver, 143 Fulton",14,,Libby Oliver ,143 Fulton  ,143 Fulton,,,English,English,English,Irish,English,English,Northern Europe,f,m,,m,m,m,m,,,N,143,Fulton  ,Fulton,,,,,,Lowinger,Sophie,0.514187568,0.563500249,,0.79875308,English,English,,,British,,,
Long David C. 56 W 18th,1898_TrowBusMan,958,1189,1898_TrowBusMan_1189,Restaurants (Marked thus + are oyster saloons.),Restaurant,Long David C. 56 W 18th,14,,Long David C ,56 W 18th ,56 W 18th,,,,,English,Irish,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,56,W 18th ,W,18th,,,,,McIntosh,Robert,0.507504976,0.988317301,,0.654058955,English,0,,,British,,,
"Lowinger Sophie, 325, 5th",1898_TrowBusMan,958,1195,1898_TrowBusMan_1195,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Lowinger Sophie, 325, 5th",17,,Lowinger Sophie ,325 5th  ,"325, 5th",,,,,English,Austrian,undecided,undecided,Northern Europe,f,,m,f,f,f,f,,,N,325,5th  ,5th,,,,,,McIntosh,Robert,0.507504976,0.988317301,,0.780057805,English,0,,,British,,,
McIntosh Robert S. 443 Hudson & 23 Bedford,1898_TrowBusMan,958,1222,1898_TrowBusMan_1222,Restaurants (Marked thus + are oyster saloons.),Restaurant,McIntosh Robert S. 443 Hudson & 23 Bedford,19,,McIntosh Robert S ,443 Hudson  ,443 Hudson & 23 Bedford,,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,https://www.ancestrylibrary.com/interactive/1629/31194_121006-00397?pid=6408477&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DIQz190%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DKLX3U/hia6oKPucyKQBwHQ%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Drobert%2520s%26gsfn_x%3D0%26gsln%3Dmcintosh%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6408477%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D1&treeid=&personid=&hintid=&usePUB=true&_phsrc=IQz190&_phstart=successSource&usePUBJs=true,N,443,Hudson  ,Hudson,,,,,,Mace,Montgomery,0.506303923,0.538014756,,0.487339203,English,English,,,British,,,
McIntosh Robert S. 443 Hudson & 23 Bedford,1898_TrowBusMan,958,1223,1898_TrowBusMan_1223,Restaurants (Marked thus + are oyster saloons.),Restaurant,McIntosh Robert S. 443 Hudson & 23 Bedford,19,,McIntosh Robert S ,23 Bedford  ,443 Hudson & 23 Bedford,,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,https://www.ancestrylibrary.com/interactive/1629/31194_121006-00397?pid=6408477&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DIQz190%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DKLX3U/hia6oKPucyKQBwHQ%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Drobert%2520s%26gsfn_x%3D0%26gsln%3Dmcintosh%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6408477%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D1&treeid=&personid=&hintid=&usePUB=true&_phsrc=IQz190&_phstart=successSource&usePUBJs=true,N,23,Bedford  ,Bedford,,,,,,Marshall,Anna,0.47627787,0.543610703,,0.50095063,English,English,,,British,,,
Mace Montgomery. 428 Lex av,1898_TrowBusMan,959,1237,1898_TrowBusMan_1237,Restaurants (Marked thus + are oyster saloons.),Restaurant,Mace Montgomery. 428 Lex av,17,,Mace Montgomery ,428 Lexington av ,428 Lex av,,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,428,Lexington av ,Lex,av,,,,,Marshall,Lillie,0.507351763,0.917225365,,0.688707737,English,English,,,British,,,
"Marshall Anna, 417 E 34th",1898_TrowBusMan,959,1258,1898_TrowBusMan_1258,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Marshall Anna, 417 E 34th",15,,Marshall Anna ,417 E 34th ,417 E 34th,,,English,English,English,Irish,English,English,Northern Europe,f,,f,f,f,f,f,,,N,417,E 34th ,E,34th,,,,,Matthews,Julia,0.476194693,0.786862541,,0.729419975,English,English,,,British,,,
Marshall Lillie. 225 W 27th,1898_TrowBusMan,959,1259,1898_TrowBusMan_1259,Restaurants (Marked thus + are oyster saloons.),Restaurant,Marshall Lillie. 225 W 27th,17,,Marshall Lillie ,225 W 27th ,225 W 27th,,,English,English,English,Irish,English,English,Northern Europe,f,,f,f,f,f,f,,,N,225,W 27th ,W,27th,,,,,Mearshimer,George,0.459875354,0.770649798,,0.546200453,English,English,,,British,,,
Matthews Julia A. 340 W 37th,1898_TrowBusMan,959,1266,1898_TrowBusMan_1266,Restaurants (Marked thus + are oyster saloons.),Restaurant,Matthews Julia A. 340 W 37th,18,,Matthews Julia A ,340 W 37th ,340 W 37th,,,English,English,English,Irish,English,English,Northern Europe,f,,f,f,f,f,f,,,N,340,W 37th ,W,37th,,,,,Medhurst,Stephen,0.814146982,0.871068709,,0.894471306,English,English,,,British,,,
Mearshimer George. 61 Centre,1898_TrowBusMan,959,1271,1898_TrowBusMan_1271,Restaurants (Marked thus + are oyster saloons.),Restaurant,Mearshimer George. 61 Centre,19,,Mearshimer George ,61 Centre  ,61 Centre,,,,,English,Irish,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,61,Centre  ,Centre,,,,,,Middleton,Solomon,0.646773306,0.732604871,,0.700535238,English,0,,,British,,,
"Medhurst Stephen, 12 West",1898_TrowBusMan,959,1273,1898_TrowBusMan_1273,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Medhurst Stephen, 12 West",18,,Medhurst Stephen ,12 West st  ,12 West,,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,12,West st  ,West,,,,,,Miller,Charles,0.450394734,0.658595053,,0.642900857,English,English,,,British,,,
Middleton Solomon S. 84 William,1898_TrowBusMan,959,1310,1898_TrowBusMan_1310,Restaurants (Marked thus + are oyster saloons.),Restaurant,Middleton Solomon S. 84 William,21,,Middleton Solomon S ,84 William  ,84 William,,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,84,William  ,William,,,,,,Miller,James,0.487246773,0.85812754,,0.811589614,English,English,,,British,,,
"Miller Charles, 21 Albany",1898_TrowBusMan,959,1314,1898_TrowBusMan_1314,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Miller Charles, 21 Albany",16,,Miller Charles ,21 Albany  ,21 Albany,,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,21,Albany  ,Albany,,,,,,Moore,Abijali,0.508170439,0.633706487,,0.678843151,English,English,,,British,,,
"Miller James, 450 W 14th",1898_TrowBusMan,959,1316,1898_TrowBusMan_1316,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Miller James, 450 W 14th",14,,Miller James ,450 W 14th ,450 W 14th,,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,450,W 14th ,W,14th,,,,,Moore,George,0.425993182,0.639293989,,0.508262499,English,English,,,British,,,
Moore Abijali L. 80 Varick,1898_TrowBusMan,959,1336,1898_TrowBusMan_1336,Restaurants (Marked thus + are oyster saloons.),Restaurant,Moore Abijali L. 80 Varick,17,,Moore Abijali L ,80 Varick  ,80 Varick,,,,,English,Liberian,undecided,undecided,Northern Europe,,,f,f,f,f,f,,,N,80,Varick  ,Varick,,,,,,Moore,Jesse,0.506582452,0.731522089,,0.508423475,English,0,,,British,,,
"Moore George S. 1173, 2d av",1898_TrowBusMan,959,1337,1898_TrowBusMan_1337,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Moore George S. 1173, 2d av",16,,Moore George S ,1173 2nd av ,"1173, 2d av",,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,1173,2nd av ,2nd,av,,,,,Morris,D,0.507302843,0.739683159,,0.691807174,English,English,,,British,,,
Moore Jesse E. 220 W 14th,1898_TrowBusMan,959,1338,1898_TrowBusMan_1338,Restaurants (Marked thus + are oyster saloons.),Restaurant,Moore Jesse E. 220 W 14th,15,,Moore Jesse E ,220 W 14th ,220 W 14th,,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,220,W 14th ,W,14th,,,,,Mulford,Lamonte,0.542229847,0.812733524,,0.888895503,English,English,,,British,,,
Morris D. 81 Baxter,1898_TrowBusMan,959,1348,1898_TrowBusMan_1348,Restaurants (Marked thus + are oyster saloons.),Restaurant,Morris D. 81 Baxter,10,,Morris D ,81 Baxter  ,81 Baxter,,,English,English,English,Irish,English,English,Northern Europe,,,,,m,undecided,undecided,,,N,81,Baxter  ,Baxter,,,,,,Newby,Benjamin,0.699784503,0.9191477,,0.868851436,English,English,,,British,,,
"Mulford Lamonte, 590, 10th av",1898_TrowBusMan,959,1359,1898_TrowBusMan_1359,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Mulford Lamonte, 590, 10th av",17,,Mulford Lamonte ,590 10th av ,"590, 10th av",,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,590,10th av ,10th,av,,,,,Noakes,George,0.718713245,0.777697233,,0.705424462,English,English,,,British,,,
"Newby Benjamin T. 240, 3d av",1898_TrowBusMan,960,1403,1898_TrowBusMan_1403,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Newby Benjamin T. 240, 3d av",18,,Newby Benjamin T ,240 3rd av ,"240, 3d av",,,English,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,240,3rd av ,3rd,av,,,,,Page,Philip,0.71179055,0.923252577,,0.570812355,English,English,,,British,,,
"Noakes George, 69 Park pl",1898_TrowBusMan,960,1411,1898_TrowBusMan_1411,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Noakes George, 69 Park pl",15,,Noakes George ,69 Park pl ,69 Park pl,,,English,English,English,Greek,English,English,Northern Europe,m,,m,m,m,m,m,,,N,69,Park pl ,Park,pl,,,,,Parker,Charles,0.506227232,0.864930842,,0.508121754,English,English,,,British,,,
"Page Philip. 78, 1st av",1898_TrowBusMan,960,1448,1898_TrowBusMan_1448,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Page Philip. 78, 1st av",13,,Page Philip ,78 1st av ,"78, 1st av",English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,78,1st av ,1st,av,,,,,Parker,Robert,0.632389329,0.727952592,,0.546669438,English,English,,,British,,,
Parker Charles A. 1551 Lex av,1898_TrowBusMan,960,1453,1898_TrowBusMan_1453,Restaurants (Marked thus + are oyster saloons.),Restaurant,Parker Charles A. 1551 Lex av,18,,Parker Charles A ,1551 Lexington av ,1551 Lex av,English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,1551,Lexington av ,Lex,av,,,,,Payne,Wiltshire,0.507904272,0.799900632,,0.757805627,English,English,,,British,,,
Parker Robert S. 494 Hudson,1898_TrowBusMan,960,1455,1898_TrowBusMan_1455,Restaurants (Marked thus + are oyster saloons.),Restaurant,Parker Robert S. 494 Hudson,17,,Parker Robert S ,494 Hudson  ,494 Hudson,English,,,English,English,Austrian,English,English,Northern Europe,m,,m,m,m,m,m,,,N,494,Hudson  ,Hudson,,,,,,Peterson,Albert,0.507138625,0.519066957,,0.508258989,English,English,,,British,,,
Payne Wiltshire. 19 Fulton,1898_TrowBusMan,960,1462,1898_TrowBusMan_1462,Restaurants (Marked thus + are oyster saloons.),Restaurant,Payne Wiltshire. 19 Fulton,17,,Payne Wiltshire ,19 Fulton  ,19 Fulton,English,,English,English,English,Irish,English,English,Northern Europe,m,,,m,m,m,m,,,N,19,Fulton  ,Fulton,,,,,,Phillips,Henry,0.480389598,0.829551907,,0.503255761,English,English,,,British,,,
Peterson Albert. 16 Pelham,1898_TrowBusMan,960,1476,1898_TrowBusMan_1476,Restaurants (Marked thus + are oyster saloons.),Restaurant,Peterson Albert. 16 Pelham,17,,Peterson Albert ,16 Pelham  ,16 Pelham,English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,16,Pelham  ,Pelham,,,,,,Pick,Caroline,0.646207386,0.73545547,,0.51469235,English,English,,,British,,,
Phillips Henry W. 140 Nassau,1898_TrowBusMan,960,1482,1898_TrowBusMan_1482,Restaurants (Marked thus + are oyster saloons.),Restaurant,Phillips Henry W. 140 Nassau,18,,Phillips Henry W ,140 Nassau,140 Nassau,English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,140,Nassau,Nassau,,,,,,Powers,Alburton,0.591795082,0.866576414,,0.502158809,English,English,,,British,,,
"Pick Caroline. 802, 1st av",1898_TrowBusMan,960,1483,1898_TrowBusMan_1483,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Pick Caroline. 802, 1st av",15,,Pick Caroline ,802 1st av ,"802, 1st av",English,,,English,English,Irish,English,English,Northern Europe,f,,f,f,f,f,f,,,N,802,1st av ,1st,av,,,,,Prince,Henry,0.416110262,0.61627596,,0.499039822,English,English,,,British,,,
Powers Alburton F. 384 Columbus av,1898_TrowBusMan,960,1503,1898_TrowBusMan_1503,Restaurants (Marked thus + are oyster saloons.),Restaurant,Powers Alburton F. 384 Columbus av,19,,Powers Alburton F ,384 Columbus av ,384 Columbus av,English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,384,Columbus av ,Columbus,av,,,,,Pyle,Stephen,0.635108412,0.936074654,,0.476884297,English,English,,,British,,,
"Prince Henry, 17 E 14th",1898_TrowBusMan,960,1508,1898_TrowBusMan_1508,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Prince Henry, 17 E 14th",14,,Prince Henry ,17 E 14th ,17 E 14th,English,,,English,English,Irish,English,English,Northern Europe,,,m,m,m,m,m,,,N,17,E 14th ,E,14th,,,,,Reeves,Thomas,0.446348445,0.829606793,,0.483881795,English,English,,,British,,,
Pyle Stephen D. 19 Coenties sl,1898_TrowBusMan,960,1519,1898_TrowBusMan_1519,Restaurants (Marked thus + are oyster saloons.),Restaurant,Pyle Stephen D. 19 Coenties sl,16,,Pyle Stephen D ,19 Coenties slip ,19 Coenties sl,English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,19,Coenties slip ,Coenties,sl,,,,,Reynolds,M,0.443488342,0.828233112,,0.49749603,English,English,,,British,,,
Reeves Thomas B. 26 Whitehall,1898_TrowBusMan,960,1537,1898_TrowBusMan_1537,Restaurants (Marked thus + are oyster saloons.),Restaurant,Reeves Thomas B. 26 Whitehall,17,,Reeves Thomas B ,26 Whitehall  ,26 Whitehall,English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,26,Whitehall  ,Whitehall,,,,,,Reynolds,M,0.443488342,0.828233112,,0.505033498,English,English,,,British,,,
"Reynolds M. W. 174 & 486, 6th av",1898_TrowBusMan,961,1559,1898_TrowBusMan_1559,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Reynolds M. W. 174 & 486, 6th av",15,,Reynolds M W ,174 6th av ,"174 & 486, 6th av",English,,,English,English,Irish,English,English,Northern Europe,,,,,m,undecided,undecided,,,N,174,6th av ,6th,av,,,,,Reynolds,Peter,0.505280707,0.857816692,,0.498660655,English,English,,,British,,,
"Reynolds M. W. 174 & 486, 6th av",1898_TrowBusMan,961,1560,1898_TrowBusMan_1560,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Reynolds M. W. 174 & 486, 6th av",15,,Reynolds M W ,486 6th av ,"174 & 486, 6th av",English,,,English,English,Irish,English,English,Northern Europe,,,,,m,undecided,undecided,,,N,486,6th av ,6th,av,,,,,Rich,Rebecca,0.714375879,0.724805152,,0.49999743,English,English,,,British,,,
"Reynolds Peter. 1086, 1st av",1898_TrowBusMan,961,1562,1898_TrowBusMan_1562,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Reynolds Peter. 1086, 1st av",16,,Reynolds Peter ,1086 1st av ,"1086, 1st av",English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,1086,1st av ,1st,av,,,,,Richards,J,0.754200979,0.856493193,,0.50096324,English,English,,,British,,,
"Rich Rebecca, 679 Bway",1898_TrowBusMan,961,1565,1898_TrowBusMan_1565,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Rich Rebecca, 679 Bway",14,,Rich Rebecca ,679 Broadway,679 Bway,English,,,English,English,Irish,English,English,Northern Europe,f,,f,f,f,f,f,,,N,679,Broadway,Bway,,,,,,Roake,Lanning,0.498000678,0.530464091,,0.462222621,English,English,,,British,,,
Richards J. J. 83 Nassau,1898_TrowBusMan,961,1566,1898_TrowBusMan_1566,Restaurants (Marked thus + are oyster saloons.),Restaurant,Richards J. J. 83 Nassau,15,,Richards J J ,83 Nassau,83 Nassau,English,,,English,English,Irish,English,English,Northern Europe,,,,,m,undecided,undecided,,,N,83,Nassau,Nassau,,,,,,Robbins,W,0.506480252,0.886846211,,0.462222621,English,English,,,British,,,
Roake Lanning G. 48 E 14th,1898_TrowBusMan,961,1574,1898_TrowBusMan_1574,Restaurants (Marked thus + are oyster saloons.),Restaurant,Roake Lanning G. 48 E 14th,17,,Roake Lanning G ,48 E 14th ,48 E 14th,English,,,English,English,Irish,English,English,Northern Europe,m,,m,m,m,m,m,,,N,48,E 14th ,E,14th,,,,,Robons,Nicholas,0.489381234,0.659828269,,0.519584522,English,English,,,British,,,
Robbins W. F. 53 Carmine,1898_TrowBusMan,961,1575,1898_TrowBusMan_1575,Restaurants (Marked thus + are oyster saloons.),Restaurant,Robbins W. F. 53 Carmine,14,,Robbins W F ,53 Carmine  ,53 Carmine,English,,,English,English,Irish,English,English,Northern Europe,,,,,m,undecided,undecided,,,N,53,Carmine  ,Carmine,,,,,,Russell,Louis,0.507661355,0.726011411,,0.71777633,English,English,,,British,,,
